show,Hamilton,week_ending,weekly_gross_overall,avg_ticket_price,top_ticket_price,seats_sold,pct_capacity
Hamilton,Yes,2018-07-08,33865379.57,295.08,849,10754,1.0176
Hamilton,Yes,2018-07-15,37330027.69,289.13,849,10756,1.0178
Kinky Boots,No,2018-07-15,37330027.69,89.79,249,7565,0.6641
Hamilton,Yes,2018-09-09,29524979.46,298.36,849,10756,1.0178
Hamilton,Yes,2018-09-30,29521717.1,301.89,849,10755,1.0177
Hamilton,Yes,2018-10-28,33133984.13,274.34,849,10737,1.016
Waitress,No,2018-11-11,37230401.33,100.59,270,6798,0.8132
Hamilton,Yes,2018-11-18,36501888.28,273.29,849,10736,1.0159
The Phantom of the Opera,No,2018-11-18,36501888.28,87.33,213,9515,0.741
Hamilton,Yes,2018-11-25,43043393.13,354.1,849,10755,1.0177
Hamilton,Yes,2018-12-09,40149570.28,274.45,849,10734,1.0157
Hamilton,Yes,2018-12-16,39865469.32,302.6,849,10759,1.0181
The Illusionists - Magic Of The Holidays,No,2018-12-16,39865469.32,102.61,227,10683,0.8152
Hamilton,Yes,2018-12-23,41012369.65,335.92,849,10755,1.0177
The Play That Goes Wrong,No,2018-12-23,41012369.65,71.96,197,5286,0.7737
Hamilton,Yes,2019-01-06,37530273.1,310.89,849,10757,1.0179
The Ferryman,No,2019-01-06,37530273.1,105.37,297,7414,0.9095
Hamilton,Yes,2019-01-13,31937248.07,293.66,849,10753,1.0175
Hamilton,Yes,2019-01-27,29982380.3,292.75,849,10753,1.0175
Hamilton,Yes,2019-02-03,26512354.56,290.87,849,10754,1.0176
Hamilton,Yes,2019-03-03,27159271.45,286.94,849,10753,1.0175
Dear Evan Hansen,No,2019-03-03,27159271.45,154.44,348,7742,0.9835
Kinky Boots,No,2019-03-03,27159271.45,83.9,249,7286,0.6396
Hamilton,Yes,2019-03-24,34204242.15,274.67,849,10738,1.0161
Hadestown,No,2019-03-24,34204242.15,128.21,399,1836,1
The Lion King,No,2019-04-07,35291615.88,159.83,225,13515,0.9961
The Prom,No,2019-04-14,34725461.34,88.77,247,6773,0.8102
Hamilton,Yes,2019-04-21,40219790.24,306.95,849,10749,1.0171
Hamilton,Yes,2019-05-05,34151624.49,296.45,849,10755,1.0177
Hamilton,Yes,2019-05-12,36855346.97,291.92,849,10753,1.0175
Hamilton,Yes,2019-05-19,35092350.5,299.82,849,10752,1.0174
Hamilton,Yes,2019-05-26,35905670.43,272.29,849,10739,1.0162
Hamilton,Yes,2019-06-09,35439598.96,267.69,849,10733,1.0156
The Book of Mormon,No,2019-06-09,35439598.96,118.23,477.5,8627,1.03
Hamilton,Yes,2019-06-16,34493610.47,295.98,849,10760,1.0182
Mean Girls,No,2019-06-16,34493610.47,106.21,249.5,9573,0.9768
Pretty Woman: The Musical,No,2019-06-23,35987055.01,92.11,275,6652,0.7119
Hamilton,Yes,2019-07-07,34108642.97,287.56,849,10755,1.0177
Hamilton,Yes,2019-08-18,31972753.31,275.89,849,10753,1.0175
Hamilton,Yes,2019-08-25,27987012.48,273.8,849,10753,1.0175
Hamilton,Yes,2019-09-01,28652876.74,280.16,849,10759,1.0181
Hamilton,Yes,2019-09-15,29092570.96,270.11,847,10753,1.0152
Hamilton,Yes,2019-09-29,29894777.05,278.07,847,10758,1.0157
Aladdin,No,2019-09-29,29894777.05,85.57,227.5,13156,0.9522
Betrayal,No,2019-09-29,29894777.05,110.92,248,5938,0.7165
"Harry Potter and the Cursed Child, Parts One and Two",No,2019-10-06,30098714.42,77.17,296.5,12976,1
Oklahoma!,No,2019-10-06,30098714.42,95.01,249.5,4333,0.832
Hamilton,Yes,2019-10-13,35212990.4,287.48,847,10752,1.0151
The Sound Inside,No,2019-10-13,35212990.4,76.56,275,5596,0.7009
Hamilton,Yes,2019-10-20,34644583.03,259.75,847,10736,1.0136
Hamilton,Yes,2019-11-03,31122600.61,224.35,847,10734,1.0134
Hamilton,Yes,2019-11-10,35399366.34,287.06,847,10760,1.0159
Hamilton,Yes,2020-02-09,26971364.47,250.34,847,10755,1.0154
Hamilton,Yes,2020-02-23,29195909.75,257.03,747,10752,1.0151
The Book of Mormon,No,2020-03-01,26109896.25,112.69,477.5,7960,0.9503
