Country,ISO,GDP.2011,pop.2010,athletes_f,athletes_m,athletes_total,gold,silver,bronze
Hungary,HUN,"140,029,000,000.00","10,000,000",63,95,158,8,4,5
Iceland,ISL,"14,059,073,613.00","318,000",6,22,28,0,0,0
India,IND,"1,847,980,000,000.00","1,224,615,000",23,60,83,0,2,4
Indonesia,IDN,"846,832,000,000.00","239,870,000",9,13,22,0,1,1
Iran,IRN,"386,670,000,000.00","73,973,000",8,45,53,4,5,3
Iraq,IRQ,"115,388,000,000.00","32,031,000",3,5,8,0,0,0
Ireland,IRL,"217,275,000,000.00","4,475,000",30,36,66,1,1,3
Israel,ISR,"242,929,000,000.00","7,624,000",18,20,38,0,0,0
Italy,ITA,"2,194,750,000,000.00","60,483,000",122,159,281,8,9,11
Ivory Coast,CIV,"24,074,625,536.00","19,738,000",6,4,10,0,0,0
Jamaica,JAM,"15,069,767,442.00","2,702,000",25,25,50,4,4,4
Japan,JPN,"5,867,150,000,000.00","127,451,000",162,141,303,7,14,17
Jordan,JOR,"28,840,197,019.00","6,047,000",4,5,9,0,0,0
Kazakhstan,KAZ,"186,198,000,000.00","16,323,000",41,74,115,7,1,5
Kenya,KEN,"33,620,684,016.00","40,513,000",21,29,50,2,4,5
Kiribati,KIR,"177,960,936.90","100,000",1,2,3,0,0,0
Kuwait,KWT,"176,590,000,000.00","2,736,000",2,8,10,0,0,1
Kyrgyzstan,KGZ,"5,918,610,958.00","5,448,000",3,11,14,0,0,0
Laos,LAO,"8,297,664,741.00","6,201,000",1,2,3,0,0,0
Latvia,LVA,"28,252,498,853.00","2,239,000",14,32,46,1,0,1
Lebanon,LBN,"42,185,230,768.00","4,227,000",7,3,10,0,0,0
Lesotho,LSO,"2,426,200,017.00","2,171,000",2,2,4,0,0,0
Liberia,LBR,"1,161,000,000.00","3,994,000",2,2,4,0,0,0
Libya,LBY,"71,950,000,000.00","6,355,000",1,4,5,0,0,0
Liechtenstein,LIE,"5,145,000,000.00","36,032",2,1,3,0,0,0
Lithuania,LTU,"42,725,404,055.00","3,287,000",23,39,62,2,1,2
Luxembourg,LUX,"59,474,583,333.00","507,000",4,5,9,0,0,0
Macedonia,MKD,"10,165,373,218.00","2,060,000",2,2,4,0,0,0
Madagascar,MDG,"9,946,995,390.00","20,714,000",4,3,7,0,0,0
Malawi,MWI,"5,700,383,783.00","14,901,000",2,1,3,0,0,0
Malaysia,MYS,"278,671,000,000.00","28,401,000",13,17,30,0,1,1
Maldives,MDV,"2,050,135,788.00","316,000",2,3,5,0,0,0
Mali,MLI,"10,589,925,352.00","15,370,000",2,4,6,0,0,0
Malta,MLT,"8,886,572,143.00","416,000",2,3,5,0,0,0
Marshall Islands,MHL,"173,700,000.00","54,038",2,2,4,0,0,0
Mauritania,MRT,"4,075,675,053.00","3,460,000",1,1,2,0,0,0
Mauritius,MUS,"11,313,454,891.00","1,281,000",7,4,11,0,0,0
Mexico,MEX,"1,155,320,000,000.00","113,423,000",38,68,106,1,3,3
Micronesia,FSM,"318,100,000.00","111,000",2,4,6,0,0,0
Moldova,MDA,"7,000,318,677.00","3,562,000",10,12,22,0,0,2
Monaco,MCO,"5,424,000,000.00","35,407",1,5,6,0,0,0
Mongolia,MNG,"8,557,529,910.00","2,756,000",13,16,29,0,2,3
Montenegro,MNE,"4,550,463,278.00","632,000",16,18,34,0,1,0
Morocco,MAR,"100,221,000,000.00","31,951,000",18,54,72,0,0,1
Mozambique,MOZ,"12,797,754,231.00","23,390,000",2,4,6,0,0,0
Namibia,NAM,"12,300,698,895.00","2,283,000",4,5,9,0,0,0
Nauru,NRU,"63,000,000.00","10,372",0,2,2,0,0,0
Nepal,NPL,"18,884,495,628.00","29,959,000",3,2,5,0,0,0
Netherlands,NLD,"836,257,000,000.00","16,616,000",84,98,182,6,6,8
New Zealand,NZL,"141,406,000,000.00","4,368,000",93,103,196,6,2,5
Nicaragua,NIC,"7,297,481,501.00","5,789,000",3,3,6,0,0,0
Niger,NER,"6,016,960,988.00","15,512,000",2,4,6,0,0,0
Nigeria,NGA,"235,923,000,000.00","158,423,000",23,30,53,0,0,0
North Korea,PRK,"12,280,000,000.00","24,589,122",40,15,55,4,0,2
Norway,NOR,"485,803,000,000.00","4,889,000",32,33,65,2,1,1
Oman,OMN,"71,781,535,039.00","2,783,000",1,3,4,0,0,0
Pakistan,PAK,"211,092,000,000.00","173,593,000",2,21,23,0,0,0
Palau,PLW,"179,912,815.90","20,472",3,2,5,0,0,0
Palestine,PSE,"4,000,000,000.00","4,152,000",2,3,5,0,0,0
Panama,PAN,"30,676,800,000.00","3,517,000",2,6,8,0,0,0
Papua New Guinea,PNG,"12,937,183,216.00","6,858,000",4,4,8,0,0,0
Paraguay,PRY,"23,877,089,240.00","6,454,000",4,4,8,0,0,0
Peru,PER,"176,662,000,000.00","29,076,000",7,9,16,0,0,0
Philippines,PHL,"224,754,000,000.00","93,261,000",4,7,11,0,0,0
Poland,POL,"514,496,000,000.00","38,184,000",87,130,217,2,2,6
Portugal,PRT,"237,522,000,000.00","10,638,000",34,46,80,0,1,0
Puerto Rico,PRI,"99,202,000,000.00","3,978,000",6,19,25,0,1,1
Qatar,QAT,"172,982,000,000.00","1,759,000",4,8,12,0,0,2
Romania,ROU,"179,794,000,000.00","21,438,000",49,54,103,2,5,2
Russia,RUS,"1,857,770,000,000.00","141,750,000",227,208,435,24,26,32
Rwanda,RWA,"6,377,408,665.00","10,624,000",2,5,7,0,0,0
Saint Kitts and Nevis,KNA,"708,955,238.40","52,000",1,6,7,0,0,0
Saint Lucia,LCA,"1,232,180,089.00","174,000",3,1,4,0,0,0
Saint Vincent and the Grenadines,VCT,"687,993,692.70","109,000",1,2,3,0,0,0
Samoa,WSM,"649,414,531.10","184,000",3,5,8,0,0,0
San Marino,SMR,"1,487,000,000.00","31,534",3,1,4,0,0,0
Sao Tome and Principe,STP,"248,286,777.50","165,000",1,1,2,0,0,0
Saudi Arabia,SAU,"576,824,000,000.00","27,448,000",2,17,19,0,0,1
Senegal,SEN,"14,291,456,855.00","12,434,000",7,28,35,0,0,0
Serbia,SRB,"45,043,430,299.00","7,291,000",36,80,116,1,1,2
Seychelles,SYC,"1,007,186,292.00","87,000",2,4,6,0,0,0
Sierra Leone,SLE,"2,242,960,927.00","5,867,000",1,1,2,0,0,0
Singapore,SGP,"239,700,000,000.00","5,077,000",15,8,23,0,0,2
