ID,year,brand,funny,show_product_quickly,danger,celebrity,view_count,like_count,dislike_count,superbowl_ads_dot_com_url
200,2019,Bud Light,TRUE,TRUE,FALSE,FALSE,125,2,0,https://superbowl-ads.com/2019-bud-light-trojan-horse-occupants/
201,2007,Toyota,FALSE,TRUE,FALSE,FALSE,286010,221,62,https://superbowl-ads.com/2007-toyota-tundra-see-saw/
202,2014,Hynudai,TRUE,FALSE,TRUE,FALSE,32557,202,7,https://superbowl-ads.com/2014-hyundai-genesis-dads-sixth-sense/
203,2006,Pepsi,TRUE,TRUE,TRUE,TRUE,69440,70,7,https://superbowl-ads.com/2006-diet-pepsi-jackie-chan/
204,2006,Pepsi,TRUE,TRUE,FALSE,TRUE,6430,45,0,https://superbowl-ads.com/2006-diet-pepsi-brown-and-bubbly/
205,2015,Pepsi,FALSE,TRUE,FALSE,FALSE,998,3,0,https://superbowl-ads.com/pepsi-2015-super-bowl-xlix-ad-halftime-touches-down/
206,2012,Bud Light,FALSE,TRUE,FALSE,FALSE,21314,29,5,https://superbowl-ads.com/2012-bud-light-platinum-factory/
207,2009,Doritos,TRUE,TRUE,TRUE,FALSE,20130,46,6,https://superbowl-ads.com/2009-doritos-crystal-ball/
208,2006,Budweiser,TRUE,FALSE,FALSE,FALSE,746836,2179,78,https://superbowl-ads.com/2006-budweiser-streaker/
209,2014,Bud Light,FALSE,TRUE,FALSE,FALSE,9649,32,2,https://superbowl-ads.com/2014-bud-light-cool-twist/
210,2005,Pepsi,TRUE,TRUE,FALSE,TRUE,43983,93,5,https://superbowl-ads.com/2005-diet-pepsi-pdiddy/
211,2005,Bud Light,TRUE,TRUE,FALSE,TRUE,3183,4,0,https://superbowl-ads.com/2005-bud-light-cedric-stranded/
212,2005,Bud Light,TRUE,TRUE,FALSE,TRUE,3183,4,0,https://superbowl-ads.com/2005-bud-light-cedric-stranded/
213,2005,Bud Light,TRUE,TRUE,FALSE,TRUE,3183,4,0,https://superbowl-ads.com/2005-bud-light-cedric-stranded/
214,2005,Bud Light,TRUE,TRUE,FALSE,TRUE,3183,4,0,https://superbowl-ads.com/2005-bud-light-cedric-stranded/
215,2007,Bud Light,TRUE,TRUE,FALSE,FALSE,162,0,0,https://superbowl-ads.com/2007-bud-light-apes-plan/
216,2005,Pepsi,TRUE,FALSE,FALSE,TRUE,293,3,0,https://superbowl-ads.com/2005-diet-pepsi-hot-guy/
217,2015,Budweiser,FALSE,TRUE,TRUE,FALSE,491630,2327,37,https://superbowl-ads.com/2015-budweiser-lost-dog/
